league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,franchise_name,user_name,franchise_name_opponent,user_name_opponent
L1 The Process,1,1,155.37,6,174.62,L,19.25,Weagle85,Weagle85,O'Shaughnessy's Pub,OhShagHennessy
L1 The Process,1,2,153.21,4,130.06,W,23.150000000000006,SycamoreFlynns,SycamoreFlynns,Hana Ho Beaches,Kendradhl
L1 The Process,1,3,159.13,8,176.08,L,16.950000000000017,Natanab,Natanab,Admiral Snackbar,Dandelo19
L1 The Process,1,4,130.06,2,153.21,L,23.150000000000006,Hana Ho Beaches,Kendradhl,SycamoreFlynns,SycamoreFlynns
L1 The Process,1,5,169.12,7,171.25,L,2.1299999999999955,Of All Days!!!!,DrWraith84,Sweep The Leg,ctjoumas
L1 The Process,1,6,174.62,1,155.37,W,19.25,O'Shaughnessy's Pub,OhShagHennessy,Weagle85,Weagle85
L1 The Process,1,7,171.25,5,169.12,W,2.1299999999999955,Sweep The Leg,ctjoumas,Of All Days!!!!,DrWraith84
L1 The Process,1,8,176.08,3,159.13,W,16.950000000000017,Admiral Snackbar,Dandelo19,Natanab,Natanab
L1 The Process,1,9,165.09,10,179.92,L,14.829999999999984,Horsey Sauce,FeelingDangerouz,sugarfreemocha,sugarfreemocha
L1 The Process,1,10,179.92,9,165.09,W,14.829999999999984,sugarfreemocha,sugarfreemocha,Horsey Sauce,FeelingDangerouz
L1 The Process,2,1,198.89,3,186.13,W,12.759999999999991,Weagle85,Weagle85,Natanab,Natanab
L1 The Process,2,2,191.15,7,173.51,W,17.640000000000015,SycamoreFlynns,SycamoreFlynns,Sweep The Leg,ctjoumas
L1 The Process,2,3,186.13,1,198.89,L,12.759999999999991,Natanab,Natanab,Weagle85,Weagle85
L1 The Process,2,4,194.94,10,211.36,L,16.420000000000016,Hana Ho Beaches,Kendradhl,sugarfreemocha,sugarfreemocha
L1 The Process,2,5,217.07,9,220.32,L,3.25,Of All Days!!!!,DrWraith84,Horsey Sauce,FeelingDangerouz
L1 The Process,2,6,178.95,8,193.37,L,14.420000000000016,O'Shaughnessy's Pub,OhShagHennessy,Admiral Snackbar,Dandelo19
L1 The Process,2,7,173.51,2,191.15,L,17.640000000000015,Sweep The Leg,ctjoumas,SycamoreFlynns,SycamoreFlynns
L1 The Process,2,8,193.37,6,178.95,W,14.420000000000016,Admiral Snackbar,Dandelo19,O'Shaughnessy's Pub,OhShagHennessy
L1 The Process,2,9,220.32,5,217.07,W,3.25,Horsey Sauce,FeelingDangerouz,Of All Days!!!!,DrWraith84
L1 The Process,2,10,211.36,4,194.94,W,16.420000000000016,sugarfreemocha,sugarfreemocha,Hana Ho Beaches,Kendradhl
L1 The Process,3,1,167.62,8,211.98,L,44.359999999999985,Weagle85,Weagle85,Admiral Snackbar,Dandelo19
L1 The Process,3,2,194.68,9,202.57,L,7.889999999999986,SycamoreFlynns,SycamoreFlynns,Horsey Sauce,FeelingDangerouz
L1 The Process,3,3,199.19,6,216.72,L,17.53,Natanab,Natanab,O'Shaughnessy's Pub,OhShagHennessy
L1 The Process,3,4,186.92,7,164,W,22.919999999999987,Hana Ho Beaches,Kendradhl,Sweep The Leg,ctjoumas
L1 The Process,3,5,192.76,10,187.5,W,5.259999999999991,Of All Days!!!!,DrWraith84,sugarfreemocha,sugarfreemocha
L1 The Process,3,6,216.72,3,199.19,W,17.53,O'Shaughnessy's Pub,OhShagHennessy,Natanab,Natanab
L1 The Process,3,7,164,4,186.92,L,22.919999999999987,Sweep The Leg,ctjoumas,Hana Ho Beaches,Kendradhl
L1 The Process,3,8,211.98,1,167.62,W,44.359999999999985,Admiral Snackbar,Dandelo19,Weagle85,Weagle85
